,Season,Round,Venue,Kick_Off_Time,Home_Team,Home_Score,Home_ELO,Home_Completion,Home_Tackle,Away_Team,Away_Score,Away_ELO,Away_Completion,Away_Tackle
0,2023,Round 1,CommBank Stadium,2023-03-02,Eels,12,1164.3672186548868,80.0,85.53,Storm,16,1083.3157622630213,79.0,85.41
1,2023,Round 1,Sky Stadium,2023-03-03,Warriors,20,775.6916961340625,87.0,88.98,Knights,12,791.3365054746292,78.0,87.84
2,2023,Round 1,BlueBet Stadium,2023-03-03,Panthers,12,1325.4413648407542,78.0,90.6,Broncos,13,966.7560483716787,76.0,87.5
3,2023,Round 1,4 Pines Park,2023-03-04,Sea Eagles,31,876.8322333131144,77.0,88.36,Bulldogs,6,822.8610537087314,65.0,90.96
4,2023,Round 1,Queensland Country Bank Stadium,2023-03-04,Cowboys,19,1121.5179181730832,87.0,87.76,Raiders,18,1086.0616544708996,77.0,87.79
5,2023,Round 1,PointsBet Stadium,2023-03-04,Sharks,18,1113.6364088827625,64.0,84.73,Rabbitohs,27,1168.101019065187,75.0,91.37
6,2023,Round 1,Suncorp Stadium,2023-03-05,Dolphins,28,1000.0,78.0,88.89,Roosters,18,1156.5865928114174,68.0,86.57
7,2023,Round 1,Leichhardt Oval,2023-03-05,Wests Tigers,10,737.7022969898367,71.0,87.92,Titans,22,828.1103351601759,75.0,80.93
8,2023,Round 2,BlueBet Stadium,2023-03-09,Panthers,16,1276.6326914219947,80.0,89.51,Rabbitohs,10,1191.3250400285979,68.0,88.21
9,2023,Round 2,CommBank Stadium,2023-03-10,Eels,26,1130.5657846758666,66.0,88.62,Sharks,30,1090.4123879193517,73.0,88.53
10,2023,Round 2,Suncorp Stadium,2023-03-10,Broncos,28,1015.5647217904384,80.0,90.68,Cowboys,16,1146.2212086082977,81.0,84.58
11,2023,Round 2,Allianz Stadium,2023-03-11,Roosters,20,1117.4687220444157,82.0,94.13,Warriors,12,804.4291678390796,77.0,93.56
12,2023,Round 2,Kayo Stadium,2023-03-11,Dolphins,20,1039.1178707670017,75.0,89.93,Raiders,14,1061.358364035685,82.0,93.7
13,2023,Round 2,AAMI Park,2023-03-11,Storm,12,1117.1171962420415,82.0,81.77,Bulldogs,26,799.598912907402,80.0,85.5
14,2023,Round 2,Leichhardt Oval,2023-03-12,Wests Tigers,12,717.2009604567796,63.0,90.84,Knights,14,762.5990337696121,76.0,86.47
15,2023,Round 2,Netstrata Jubilee Stadium,2023-03-12,Dragons,32,981.6818916857567,82.0,84.38,Titans,18,848.6116716932329,75.0,85.34
16,2023,Round 3,4 Pines Park,2023-03-16,Sea Eagles,34,900.0943741144439,70.0,82.92,Eels,30,1099.9016633856136,64.0,87.12
17,2023,Round 3,McDonald Jones Stadium,2023-03-17,Knights,20,786.5260260555465,72.0,94.21,Dolphins,36,1068.375835564663,88.0,90.46
18,2023,Round 3,Allianz Stadium,2023-03-17,Roosters,20,1125.2571464483665,76.0,87.73,Rabbitohs,18,1170.4447596745713,62.0,89.72
